"DATE","REP","WMGT","NRTE","SMPL","HILL","NTIL","NTShB","NSHShB","TIL","GL","DL","ShBL1","ShBL2","ShBL3","ShBL4","ShBL5","ShBL6"
"","2","AWD","N1"," A","6","15","6","1","1","1","2","0","","","","",""
"","2","AWD","N1"," A","6","","","1","2","1","2","0","","","","",""
"","2","AWD","N1"," A","6","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," A","6","","","1","4","1","3","0","0","","","",""
"","2","AWD","N1"," A","7","16","10","3","1","2","2","0","0","","","",""
"","2","AWD","N1"," A","7","","","1","2","1","3","0","","","","",""
"","2","AWD","N1"," A","7","","","1","3","1","2","0","","","","",""
"","2","AWD","N1"," A","7","","","3","4","2","2","0","0","","","",""
"","2","AWD","N1"," A","8","17","13","1","1","1","2","0","","","","",""
"","2","AWD","N1"," A","8","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," A","8","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," A","8","","","1","4","1","2","0","","","","",""
"","2","AWD","N1"," A","9","24","13","1","1","1","2","0","","","","",""
"","2","AWD","N1"," A","9","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," A","9","","","1","3","3","2","0","1","1","","",""
"","2","AWD","N1"," A","9","","","1","4","2","2","0","0","","","",""
"26-Apr-16","2","AWD","N1"," B","1","17","8","1","1","2","2","0","0","","","",""
"","2","AWD","N1"," B","1","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","1","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","1","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","2","17","10","1","1","2","2","0","0","","","",""
"","2","AWD","N1"," B","2","","","1","2","1","3","0","","","","",""
"","2","AWD","N1"," B","2","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," B","2","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","3","15","12","1","1","2","2","0","0","","","",""
"","2","AWD","N1"," B","3","","","3","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","3","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","3","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","4","18","18","1","1","3","1","0","1","0","","",""
"","2","AWD","N1"," B","4","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","4","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","4","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","5","21","15","1","1","1","2","0","","","","",""
"","2","AWD","N1"," B","5","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","5","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","5","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","6","26","23","1","1","3","1","0","0","","","",""
"","2","AWD","N1"," B","6","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","6","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","6","","","3","4","1","3","0","","","","",""
"","2","AWD","N1"," B","7","24","19","1","1","1","2","0","","","","",""
"","2","AWD","N1"," B","7","","","1","2","1","2","0","","","","",""
"","2","AWD","N1"," B","7","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","7","","","1","4","2","2","0","0","","","",""
"","2","AWD","N1"," B","8","17","17","1","1","2","2","0","0","","","",""
"","2","AWD","N1"," B","8","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","8","","","3","3","2","2","0","0","","","",""
"","2","AWD","N1"," B","8","","","1","4","2","2","0","1","","","",""
"","2","AWD","N1"," B","9","24","16","1","1","2","2","0","0","","","",""
"","2","AWD","N1"," B","9","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," B","9","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," B","9","","","1","4","1","3","0","","","","",""
"26-Apr-16","2","AWD","N2","A","1","18","18","1","1","2","2","0","0","","","",""
"","2","AWD","N2","A","1","","","3","2","2","2","0","0","","","",""
"","2","AWD","N2","A","1","","","1","3","2","2","0","0","","","",""
"","2","AWD","N2","A","1","","","3","4","2","2","0","0","","","",""
"","2","AWD","N2","A","2","7","7","1","1","1","2","0","","","","",""
"","2","AWD","N2","A","2","","","3","2","2","2","0","0","","","",""
"","2","AWD","N2","A","2","","","1","3","1","2","0","","","","",""
"","2","AWD","N2","A","2","","","1","4","2","2","0","0","","","",""
"","2","AWD","N2","A","3","25","25","1","1","1","2","0","","","","",""
"","2","AWD","N2","A","3","","","3","2","2","2","0","0","","","",""
"","2","AWD","N2","A","3","","","1","3","1","2","0","","","","",""
"","2","AWD","N2","A","3","","","3","4","2","2","0","0","","","",""
"","2","AWD","N2","A","4","17","17","1","1","2","2","0","0","","","",""
"","2","AWD","N2","A","4","","","1","2","2","2","0","0","","","",""
"","2","AWD","N2","A","4","","","3","3","1","2","0","","","","",""
"","2","AWD","N2","A","4","","","1","4","2","2","0","0","","","",""
"","2","AWD","N2","A","5","14","14","3","1","2","2","0","1","","","",""
"","2","AWD","N2","A","5","","","1","2","2","2","0","0","","","",""
"","2","AWD","N2","A","5","","","1","3","1","2","0","","","","",""
"","2","AWD","N2","A","5","","","3","4","2","2","0","0","","","",""
"","2","AWD","N2","A","6","20","20","1","1","2","2","0","0","","","",""
"","2","AWD","N2","A","6","","","3","2","2","2","0","0","","","",""
"","2","AWD","N2","A","6","","","1","3","1","2","0","","","","",""
"","2","AWD","N2","A","6","","","3","4","2","2","0","0","","","",""
"","2","AWD","N2","A","7","18","18","1","1","2","2","0","0","","","",""
"","2","AWD","N2","A","7","","","1","2","2","2","0","0","","","",""
"","2","AWD","N2","A","7","","","3","3","1","3","0","","","","",""
